#Mean of hydro_01m.dat hydro_02m.dat hydro_03m.dat hydro_04m.dat hydro_05m.dat hydro_06m.dat hydro_07m.dat hydro_08m.dat hydro_09m.dat hydro_11m.dat
#Fields: dist.z  meanFes  stdDeviation  stdError
#gnuplot command: plot './mintozeroFes.dat' u 1:2:4 w e
 -4.8000  35.8317   5.5063   1.7413
 -4.7800  35.8314   5.5060   1.7411
 -4.7600  35.8307   5.5052   1.7409
 -4.7400  35.8289   5.5030   1.7402
 -4.7200  35.8243   5.4976   1.7385
 -4.7000  35.8142   5.4857   1.7347
 -4.6800  35.7941   5.4624   1.7273
 -4.6600  35.7584   5.4225   1.7147
 -4.6400  35.7015   5.3626   1.6958
 -4.6200  35.6197   5.2850   1.6713
 -4.6000  35.5133   5.1997   1.6443
 -4.5800  35.3878   5.1229   1.6200
 -4.5600  35.2540   5.0706   1.6035
 -4.5400  35.1250   5.0500   1.5969
 -4.5200  35.0127   5.0561   1.5989
 -4.5000  34.9218   5.0774   1.6056
 -4.4800  34.8464   5.1060   1.6146
 -4.4600  34.7692   5.1444   1.6268
 -4.4400  34.6694   5.2070   1.6466
 -4.4200  34.5332   5.3129   1.6801
 -4.4000  34.3650   5.4683   1.7292
 -4.3800  34.1857   5.6457   1.7853
 -4.3600  34.0227   5.7849   1.8294
 -4.3400  33.8942   5.8293   1.8434
 -4.3200  33.7988   5.7686   1.8242
 -4.3000  33.7147   5.6477   1.7860
 -4.2800  33.6118   5.5343   1.7501
 -4.2600  33.4603   5.4852   1.7346
 -4.2400  33.2447   5.5312   1.7491
 -4.2200  32.9663   5.6720   1.7936
 -4.2000  32.6420   5.8749   1.8578
 -4.1800  32.3008   6.0822   1.9234
 -4.1600  31.9731   6.2387   1.9728
 -4.1400  31.6814   6.3174   1.9977
 -4.1200  31.4346   6.3272   2.0008
 -4.1000  31.2269   6.3049   1.9938
 -4.0800  31.0458   6.2936   1.9902
 -4.0600  30.8747   6.3180   1.9979
 -4.0400  30.6966   6.3724   2.0151
 -4.0200  30.4913   6.4321   2.0340
 -4.0000  30.2390   6.4729   2.0469
 -3.9800  29.9183   6.5018   2.0561
 -3.9600  29.5198   6.5621   2.0751
 -3.9400  29.0488   6.7102   2.1220
 -3.9200  28.5327   6.9595   2.2008
 -3.9000  28.0050   7.2748   2.3005
 -3.8800  27.4949   7.6028   2.4042
 -3.8600  27.0132   7.9211   2.5049
 -3.8400  26.5619   8.2268   2.6015
 -3.8200  26.1386   8.5144   2.6925
 -3.8000  25.7564   8.7506   2.7672
 -3.7800  25.4318   8.8985   2.8140
 -3.7600  25.1708   8.9324   2.8247
 -3.7400  24.9576   8.8496   2.7985
 -3.7200  24.7539   8.6939   2.7493
 -3.7000  24.5181   8.5500   2.7038
 -3.6800  24.2214   8.4985   2.6875
 -3.6600  23.8535   8.5611   2.7072
 -3.6400  23.4187   8.6897   2.7479
 -3.6200  22.9350   8.8077   2.7852
 -3.6000  22.4345   8.8719   2.8055
 -3.5800  21.9564   8.8897   2.8112
