#Mean of hydro_01m.dat hydro_02m.dat hydro_03m.dat hydro_04m.dat hydro_05m.dat hydro_06m.dat hydro_07m.dat hydro_08m.dat
#Fields: dist.z  meanFes  stdDeviation  stdError
#gnuplot command: plot './mintozeroFes.dat' u 1:2:4 w e
 -4.0000  26.1347   3.1047   1.0977
 -3.9800  26.1184   3.0801   1.0890
 -3.9600  26.0875   3.0345   1.0729
 -3.9400  26.0353   2.9609   1.0468
 -3.9200  25.9565   2.8588   1.0108
 -3.9000  25.8497   2.7398   0.9687
 -3.8800  25.7214   2.6295   0.9297
 -3.8600  25.5839   2.5543   0.9031
 -3.8400  25.4529   2.5236   0.8922
 -3.8200  25.3422   2.5194   0.8908
 -3.8000  25.2575   2.5096   0.8873
 -3.7800  25.1923   2.4702   0.8734
 -3.7600  25.1285   2.4001   0.8485
 -3.7400  25.0463   2.3189   0.8198
 -3.7200  24.9324   2.2632   0.8002
 -3.7000  24.7886   2.2786   0.8056
 -3.6800  24.6312   2.4050   0.8503
 -3.6600  24.4785   2.6512   0.9374
 -3.6400  24.3411   2.9873   1.0562
 -3.6200  24.2152   3.3614   1.1884
 -3.6000  24.0853   3.7213   1.3157
 -3.5800  23.9342   4.0237   1.4226
 -3.5600  23.7509   4.2435   1.5003
 -3.5400  23.5335   4.3789   1.5482
 -3.5200  23.2897   4.4514   1.5738
 -3.5000  23.0315   4.4879   1.5867
 -3.4800  22.7688   4.5121   1.5953
 -3.4600  22.5057   4.5355   1.6035
 -3.4400  22.2415   4.5700   1.6157
 -3.4200  21.9697   4.6329   1.6380
 -3.4000  21.6899   4.7199   1.6687
 -3.3800  21.4062   4.7906   1.6937
 -3.3600  21.1284   4.7926   1.6944
 -3.3400  20.8661   4.7129   1.6663
 -3.3200  20.6200   4.6037   1.6277
 -3.3000  20.3693   4.5622   1.6130
 -3.2800  20.0742   4.6724   1.6519
 -3.2600  19.6961   4.9423   1.7474
 -3.2400  19.2109   5.3259   1.8830
 -3.2200  18.6208   5.7357   2.0279
 -3.2000  17.9544   6.0656   2.1445
 -3.1800  17.2480   6.2307   2.2029
 -3.1600  16.5408   6.1980   2.1913
 -3.1400  15.8681   5.9975   2.1204
 -3.1200  15.2692   5.7067   2.0176
 -3.1000  14.7775   5.4252   1.9181
 -3.0800  14.4097   5.2334   1.8503
 -3.0600  14.1455   5.1766   1.8302
 -3.0400  13.9294   5.2473   1.8552
 -3.0200  13.6814   5.3924   1.9065
 -3.0000  13.3344   5.5367   1.9575
 -2.9800  12.8565   5.6152   1.9853
 -2.9600  12.2578   5.6038   1.9813
 -2.9400  11.5743   5.5239   1.9530
 -2.9200  10.8586   5.4266   1.9186
 -2.9000  10.1692   5.3568   1.8939
 -2.8800   9.5550   5.3281   1.8838
 -2.8600   9.0464   5.3348   1.8862
 -2.8400   8.6424   5.3710   1.8989
 -2.8200   8.3077   5.4302   1.9199
 -2.8000   8.0036   5.5033   1.9457
 -2.7800   7.7075   5.5552   1.9641
 -2.7600   7.4182   5.5095   1.9479
 -2.7400   7.1251   5.2936   1.8716
 -2.7200   6.8081   4.9220   1.7402
 -2.7000   6.4218   4.5490   1.6083
 -2.6800   5.9509   4.3558   1.5400
 -2.6600   5.4216   4.3850   1.5503
 -2.6400   4.8954   4.5339   1.6030
 -2.6200   4.4477   4.6953   1.6600
 -2.6000   4.1020   4.8094   1.7004
 -2.5800   3.8418   4.8346   1.7093
 -2.5600   3.6349   4.7528   1.6804
 -2.5400   3.4609   4.5815   1.6198
 -2.5200   3.3208   4.3610   1.5418
 -2.5000   3.2208   4.0989   1.4492
 -2.4800   3.1466   3.7886   1.3395
 -2.4600   3.0718   3.4359   1.2148
 -2.4400   2.9703   3.0939   1.0939
 -2.4200   2.8348   2.8278   0.9998
 -2.4000   2.6647   2.6691   0.9437
 -2.3800   2.4654   2.6154   0.9247
 -2.3600   2.2380   2.6837   0.9488
 -2.3400   1.9827   2.8651   1.0130
 -2.3200   1.7181   3.0561   1.0805
 -2.3000   1.4775   3.0951   1.0943
 -2.2800   1.2937   2.8827   1.0192
 -2.2600   1.1785   2.4661   0.8719
 -2.2400   1.1276   2.0188   0.7138
 -2.2200   1.1260   1.7260   0.6102
 -2.2000   1.1649   1.6549   0.5851
 -2.1800   1.2272   1.7623   0.6231
 -2.1600   1.2793   1.9933   0.7048
 -2.1400   1.2796   2.2964   0.8119
 -2.1200   1.1840   2.6183   0.9257
 -2.1000   0.9821   2.9245   1.0340
 -2.0800   0.7064   3.1742   1.1222
 -2.0600   0.4213   3.2987   1.1663
 -2.0400   0.1897   3.1953   1.1297
 -2.0200   0.0481   2.8132   0.9946
 -2.0000   0.0000   2.2150   0.7831
 -1.9800   0.0207   1.5788   0.5582
 -1.9600   0.0813   1.1401   0.4031
 -1.9400   0.1487   1.0841   0.3833
 -1.9200   0.2048   1.3539   0.4787
 -1.9000   0.2484   1.7601   0.6223
 -1.8800   0.2961   2.1388   0.7562
 -1.8600   0.3767   2.3742   0.8394
 -1.8400   0.5098   2.4428   0.8637
 -1.8200   0.6938   2.4137   0.8534
 -1.8000   0.8786   2.3728   0.8389
 -1.7800   1.0064   2.3305   0.8240
 -1.7600   1.0371   2.2467   0.7943
 -1.7400   0.9762   2.1271   0.7520
 -1.7200   0.8872   2.0320   0.7184
 -1.7000   0.8487   2.0070   0.7096
 -1.6800   0.9180   2.0452   0.7231
 -1.6600   1.1245   2.1180   0.7488
 -1.6400   1.4566   2.1561   0.7623
 -1.6200   1.8861   2.0656   0.7303
 -1.6000   2.3627   1.8012   0.6368
 -1.5800   2.8281   1.4088   0.4981
 -1.5600   3.2133   1.0531   0.3723
 -1.5400   3.4748   1.0528   0.3722
 -1.5200   3.6104   1.4082   0.4979
 -1.5000   3.6771   1.7818   0.6300
 -1.4800   3.7848   2.0476   0.7240
 -1.4600   4.0357   2.2759   0.8047
 -1.4400   4.4809   2.5378   0.8973
 -1.4200   5.0760   2.8131   0.9946
 -1.4000   5.7033   3.0087   1.0637
 -1.3800   6.2293   3.0756   1.0874
 -1.3600   6.5810   3.0197   1.0676
 -1.3400   6.7743   2.9044   1.0269
