#Mean of hydro_01m.dat hydro_02m.dat hydro_03m.dat hydro_04m.dat hydro_05m.dat hydro_06m.dat hydro_07m.dat hydro_08m.dat hydro_09m.dat hydro_10m.dat
#Fields: dist.z  meanFes  stdDeviation  stdError
#gnuplot command: plot './mintozeroFes.dat' u 1:2:4 w e
  0.2000  61.1810   3.0652   0.9693
  0.2200  61.2560   3.0272   0.9573
  0.2400  61.2969   3.0022   0.9494
  0.2600  61.2818   2.9686   0.9387
  0.2800  61.1939   2.9098   0.9202
  0.3000  61.0149   2.8212   0.8921
  0.3200  60.7251   2.7119   0.8576
  0.3400  60.3090   2.6112   0.8257
  0.3600  59.7666   2.5663   0.8115
  0.3800  59.1247   2.6159   0.8272
  0.4000  58.4300   2.7541   0.8709
  0.4200  57.7358   2.9176   0.9226
  0.4400  57.0818   3.0221   0.9557
  0.4600  56.4799   3.0087   0.9514
  0.4800  55.9173   2.8792   0.9105
  0.5000  55.3705   2.7075   0.8562
  0.5200  54.8223   2.5982   0.8216
  0.5400  54.2717   2.5997   0.8221
  0.5600  53.7256   2.6518   0.8386
  0.5800  53.1786   2.6734   0.8454
  0.6000  52.6043   2.6679   0.8437
  0.6200  51.9644   2.7124   0.8577
  0.6400  51.2216   2.8420   0.8987
  0.6600  50.3601   2.9935   0.9466
  0.6800  49.3795   3.1012   0.9807
  0.7000  48.2873   3.1717   1.0030
  0.7200  47.0953   3.2267   1.0204
  0.7400  45.8297   3.2451   1.0262
  0.7600  44.5367   3.1990   1.0116
  0.7800  43.2799   3.1234   0.9877
  0.8000  42.1198   3.0762   0.9728
  0.8200  41.0862   3.0459   0.9632
  0.8400  40.1643   2.9700   0.9392
  0.8600  39.3014   2.8505   0.9014
  0.8800  38.4399   2.7699   0.8759
  0.9000  37.5414   2.7743   0.8773
  0.9200  36.6063   2.8247   0.8933
  0.9400  35.6549   2.8933   0.9149
  0.9600  34.7091   2.9730   0.9401
  0.9800  33.7825   3.0074   0.9510
  1.0000  32.8775   2.9429   0.9306
  1.0200  31.9854   2.8295   0.8948
  1.0400  31.0810   2.7661   0.8747
  1.0600  30.1331   2.7862   0.8811
  1.0800  29.1296   2.8543   0.9026
  1.1000  28.1094   2.9331   0.9275
  1.1200  27.1457   2.9702   0.9393
  1.1400  26.3109   2.9051   0.9187
  1.1600  25.6266   2.7617   0.8733
  1.1800  25.0510   2.6610   0.8415
  1.2000  24.5116   2.7013   0.8542
  1.2200  23.9378   2.8577   0.9037
  1.2400  23.2725   3.0599   0.9676
  1.2600  22.4802   3.2860   1.0391
  1.2800  21.5396   3.5267   1.1152
  1.3000  20.4733   3.7347   1.1810
  1.3200  19.3684   3.8465   1.2164
  1.3400  18.3534   3.8321   1.2118
  1.3600  17.5452   3.7116   1.1737
  1.3800  16.9733   3.5566   1.1247
  1.4000  16.5570   3.4533   1.0920
  1.4200  16.1484   3.4302   1.0847
  1.4400  15.6092   3.4278   1.0840
  1.4600  14.8902   3.3979   1.0745
  1.4800  14.0329   3.3673   1.0648
  1.5000  13.1353   3.3986   1.0747
  1.5200  12.2785   3.5131   1.1109
  1.5400  11.5020   3.6720   1.1612
  1.5600  10.8095   3.8148   1.2063
  1.5800  10.1894   3.8907   1.2304
  1.6000   9.6480   3.8646   1.2221
  1.6200   9.2138   3.7159   1.1751
  1.6400   8.9026   3.4615   1.0946
  1.6600   8.6954   3.1936   1.0099
  1.6800   8.5320   3.0724   0.9716
  1.7000   8.3269   3.1723   1.0032
  1.7200   7.9977   3.3993   1.0750
  1.7400   7.5190   3.6318   1.1485
  1.7600   6.9121   3.8142   1.2061
  1.7800   6.2548   3.8933   1.2312
  1.8000   5.6215   3.8396   1.2142
  1.8200   5.0660   3.7083   1.1727
  1.8400   4.5776   3.6529   1.1552
  1.8600   4.1040   3.7612   1.1894
  1.8800   3.5810   3.9673   1.2546
  1.9000   2.9950   4.1593   1.3153
  1.9200   2.3925   4.2729   1.3512
  1.9400   1.8824   4.2870   1.3557
  1.9600   1.5540   4.2094   1.3311
  1.9800   1.4443   4.0451   1.2792
  2.0000   1.5096   3.8023   1.2024
  2.0200   1.6536   3.5033   1.1079
  2.0400   1.7671   3.2424   1.0253
  2.0600   1.7814   3.1463   0.9950
  2.0800   1.6777   3.2441   1.0259
  2.1000   1.4899   3.4350   1.0863
  2.1200   1.2678   3.5854   1.1338
  2.1400   1.0363   3.5739   1.1302
  2.1600   0.7965   3.3373   1.0553
  2.1800   0.5473   2.9646   0.9375
